Ime recepta,Število sestavin,Število besed v receptu,Število odstavkov,Težavnost,Čas priprave,Čas kuhanja,Skupni čas,Vrsta kuhinje,Energijska vrednost na porcijo
Sendvič s tuno in rženim kruhom,9,80,2,1,15 min,0 min,15 min,Ribe in morski sadeži,85.05 kCal
Jajca mimoza,7,83,3,1,15 min,8 min,23 min,Zabava,170.06 kCal
Domači mlinci,4,73,3,2,10 min,15 min,25 min,Martinovo,364 kCal
Pustni krofi,13,350,5,3,2 h 0 min,24 min,2 h 24 min,Slovenska,376.37 kCal
Falafel,10,127,3,2,15 min,55 min,1 h 10 min,Piknik in žar,325.7 kCal
Špinačna tortilja,7,113,3,1,10 min,15 min,25 min,Zdravo in vegi,98.85 kCal
"Bageta z avokadom, lososom in kaviarjem",10,102,3,1,20 min,0 min,20 min,Zabava,266.69 kCal
Praznične ingverjeve zvezdice,7,147,3,2,20 min,10 min,30 min,Priložnostno,427.16 kCal
Korenčkov sok,1,17,1,1,10 min,0 min,10 min,Pijača,0 kCal
Pletenici,7,174,3,2,1 h 40 min,30 min,2 h 10 min,Slovenska,382.29 kCal
Ajdovi krapi,10,179,4,2,30 min,35 min,1 h 5 min,Slovenska,260.72 kCal
Štajerska jabolčna pita,15,167,5,2,1 h 30 min,30 min,2 h 0 min,Jesen,219.99 kCal
Francoska jabolčna pita,13,164,3,2,1 h 30 min,1 h 0 min,2 h 30 min,Jesen,171.66 kCal
"Solata iz leče, bučk in paprike",9,58,2,1,10 min,25 min,35 min,Zdravo in vegi,211.61 kCal
Ingverjev čaj,4,52,1,1,10 min,10 min,20 min,Pijača,24.8 kCal
Kokosov kolač s češnjami,13,182,5,2,25 min,1 h 0 min,1 h 25 min,Zabava,326.69 kCal
Kremšnita,16,290,4,3,1 h 0 min,40 min,1 h 40 min,Zabava,337.31 kCal
Bananini mafini z medom,11,136,3,1,10 min,20 min,30 min,Vegetarijanstvo,280.24 kCal
Sadna nabodala,8,117,3,2,20 min,10 min,30 min,Dnevi žara in piknikov,50.85 kCal
Preste s sezamom,7,181,4,2,50 min,20 min,1 h 10 min,Priložnostno,125.53 kCal
Hladna češnjeva juha,8,102,4,1,1 h 0 min,20 min,1 h 20 min,Vegetarijanstvo,113.5 kCal
Polnjeni listi vinske trte,12,197,4,2,20 min,50 min,1 h 10 min,Priložnostno,51.91 kCal
Halva,8,128,3,2,0 min,40 min,40 min,Sladice,493.92 kCal
Ajdov kruh,7,111,2,2,2 h 40 min,55 min,3 h 35 min,Slovenska,344.84 kCal
Lokma,7,142,4,2,20 min,20 min,40 min,Sladice,343.17 kCal
Francoska solata,9,179,4,1,40 min,20 min,1 h 0 min,Zabava,111.38 kCal
Rženi kruh,7,38,1,2,2 h 30 min,55 min,3 h 25 min,Slovenska,347.22 kCal
Sirnica,6,34,1,1,5 min,20 min,25 min,Slovenska,3.42 kCal
Koruzni kruh,7,111,2,2,2 h 40 min,1 h 0 min,3 h 40 min,Slovenska,360.04 kCal
Medene palčke iz vlečenega testa,8,179,4,3,1 h 40 min,15 min,1 h 55 min,Sladice,399.66 kCal
Pesto genovese,7,73,3,1,10 min,0 min,10 min,Italijanska,368.17 kCal
Usukan močnik,5,63,2,1,5 min,15 min,20 min,Slovenska,265.46 kCal
Krompirjevi kroketi,8,127,3,2,30 min,30 min,1 h 0 min,Slovenska,162.38 kCal
Kruh iz polnozrnate pšenične moke,6,232,4,2,2 h 40 min,55 min,3 h 35 min,Slovenska,336.87 kCal
Tunin tatarski biftek,8,70,2,2,20 min,0 min,20 min,Priložnostno,114.71 kCal
Tortilja s kuhanim pršutom,4,42,1,1,20 min,0 min,20 min,Zabava,175 kCal
Pražena telečja jetrca,6,86,3,1,10 min,25 min,35 min,Slovenska,132.4 kCal
Kozice s popečenimi bučkami,5,108,3,1,10 min,10 min,20 min,Zabava,105.75 kCal
Rum Babà di Napoli,10,198,4,2,1 h 25 min,50 min,2 h 15 min,Italijanska,326.73 kCal
Kuhan krompir,4,71,2,1,15 min,25 min,40 min,Vegetarijanstvo,105.26 kCal
Ješprenova mineštra,12,126,3,2,10 min,1 h 5 min,1 h 15 min,Italijanska,61.71 kCal
Hrenovke v testu,8,134,2,2,1 h 20 min,15 min,1 h 35 min,Zabava,363.07 kCal
Indokitajski pražen riž,8,140,3,2,10 min,24 min,34 min,Azijska,324.88 kCal
Paradižnikov čatni,11,109,4,1,10 min,35 min,45 min,Vegetarijanstvo,54.21 kCal
Vroči kolački iz sirotke,8,171,5,2,2 h 30 min,20 min,2 h 50 min,Priložnostno,329.69 kCal
Visoška telečja pečenka,10,204,3,2,15 min,1 h 25 min,1 h 40 min,Slovenska,150.69 kCal
Namaz iz čičerike in praženega česna,6,82,3,1,10 min,0 min,10 min,Vegetarijanstvo,194.3 kCal
Jabolčna čežana,3,59,2,1,10 min,15 min,25 min,Brez glutena,64.87 kCal
Limonino pecivo z mandlji,9,151,4,2,1 h 10 min,1 h 25 min,2 h 35 min,Zabava,377.81 kCal
Skutni namaz s čemažem,7,75,2,1,15 min,0 min,15 min,Vegetarijanstvo,123.91 kCal
Pujski v srajčki,6,133,4,1,10 min,20 min,30 min,Piknik in žar,333.77 kCal
Krompir v oblicah,3,79,2,1,15 min,25 min,40 min,Slovenska,69 kCal
Burger z gobami in hrustljavo slanino,9,195,4,1,15 min,15 min,30 min,Kotanyi,247.96 kCal
Mešana listnata solata,8,48,2,1,20 min,0 min,20 min,Zdravo in vegi,18.01 kCal
Svinjska pečenka s suhimi slivami,9,126,3,2,10 min,1 h 0 min,1 h 10 min,Slovenska,233.59 kCal
"Sendvič z jajcem, klobaso in slanino",9,111,3,1,10 min,20 min,30 min,Zabava,240.52 kCal
Pasirana fižolova juha,11,106,4,1,5 min,25 min,30 min,Slovenska,43.55 kCal
Štajerska kisla juha,12,133,4,1,10 min,30 min,40 min,Zima,98.54 kCal
Ajdova kaša z jurčki,10,139,3,1,10 min,35 min,45 min,Slovenska,149.04 kCal
Jagnječje zarebrnice z maslom,9,183,4,2,2 h 10 min,18 min,2 h 28 min,Meso,344.02 kCal
Zeliščna frtalja,8,79,3,1,10 min,10 min,20 min,Slovenska,132.71 kCal
Zvitki s kuhanim pršutom in skuto,3,43,1,1,15 min,0 min,15 min,Piknik in žar,0 kCal
Pinca,12,259,5,2,1 h 40 min,30 min,2 h 10 min,Velika noč,389.23 kCal
Zelena kremna juha iz divjih užitnih rastlin,9,96,4,1,10 min,35 min,45 min,Vegetarijanstvo,61.15 kCal
Regratov čaj,3,84,2,1,10 min,10 min,20 min,Pijača,0 kCal
Panna cotta z malinovim prelivom,9,132,4,1,2 h 10 min,10 min,2 h 20 min,Italijanska,159.4 kCal
Spomladanska solata z omleto,11,131,3,2,15 min,10 min,25 min,Pomlad,61.6 kCal
Solatni zvitki,11,121,3,1,30 min,0 min,30 min,Vegetarijanstvo,68.85 kCal
Poletna solata s kozjim sirom,9,72,2,1,15 min,0 min,15 min,Poletje,70.46 kCal
Krompirjeva zloženka s čebulo,7,157,4,2,20 min,1 h 7 min,1 h 27 min,Zima,106.34 kCal
Toast z bučno palačinko,8,121,3,1,10 min,15 min,25 min,Vegetarijanstvo,86.71 kCal
Burger s čemažem,15,155,4,1,30 min,15 min,45 min,Pomlad,190.83 kCal
Sendvič s čemažem in dimljenim lososom,7,41,2,1,10 min,0 min,10 min,Pomlad,288.93 kCal
Gratiniran krompir,8,110,3,1,20 min,1 h 30 min,1 h 50 min,Zima,123.91 kCal
Sendvič s piščancem po kreolsko,12,107,3,1,5 min,10 min,15 min,Piknik in žar,75.77 kCal
Brezglutenski tortelini s parmezanom,11,217,4,2,40 min,12 min,52 min,Brez glutena,281.33 kCal
Zelenjavna tempura z omako,13,206,4,2,15 min,25 min,40 min,Vegetarijanstvo,112.95 kCal
Sladki pehtranovi štruklji,11,147,4,2,45 min,35 min,1 h 20 min,Slovenska,227.07 kCal
Jogurtovo pecivo z breskvami,8,87,3,1,10 min,20 min,30 min,Na hitro,229.22 kCal
Ledeni čaj,6,67,3,1,1 h 15 min,0 min,1 h 15 min,Pijača,272.43 kCal
Ratatouille,12,112,3,1,10 min,25 min,35 min,Poletje,54.27 kCal
Brezglutenska pica,9,119,2,1,15 min,15 min,30 min,Brez glutena,230.65 kCal
Brezglutenske palačinke s cimetom,9,105,2,1,10 min,10 min,20 min,Brez glutena,242.9 kCal
Zelenjavni curry s tofujem,11,154,3,2,2 h 10 min,15 min,2 h 25 min,Azijska,58.44 kCal
Rafaelo kroglice z mlekom v prahu,5,64,2,1,40 min,5 min,45 min,Zabava,457.01 kCal
Sojin souffle,5,84,2,2,15 min,30 min,45 min,Brez glutena,203.8 kCal
Maki sushi,8,352,6,2,1 h 0 min,17 min,1 h 17 min,Zabava,166.22 kCal
Brezglutenska čebulna ciabatta,9,146,3,2,15 min,1 h 0 min,1 h 15 min,Brez glutena,184.79 kCal
Šitake v ostrigovi omaki,11,89,3,1,15 min,20 min,35 min,Azijska,55.21 kCal
Brezglutenski kruh,6,184,3,2,1 h 10 min,30 min,1 h 40 min,Brez glutena,189.43 kCal
Zelenjavni spomladanski zavitki,12,223,4,2,20 min,13 min,33 min,Zabava,132.89 kCal
Ocvrte banane,10,97,3,1,1 h 15 min,10 min,1 h 25 min,Vegetarijanstvo,200.12 kCal
Ajdov biskvit z ribezovo marmelado,7,118,3,1,50 min,20 min,1 h 10 min,Zdravo in vegi,231.83 kCal
Krompirjev curry,12,140,3,1,15 min,35 min,50 min,Jesen,92.68 kCal
Korenčkova torta,9,92,3,2,10 min,40 min,50 min,Vegetarijanstvo,301.57 kCal
Breskvina melba,9,92,3,1,40 min,5 min,45 min,Poletje,149.85 kCal
Biftek s šparglji,12,122,3,2,10 min,40 min,50 min,Pomlad,134.11 kCal
Banana split,12,106,3,1,15 min,10 min,25 min,Banana na 1001 način,221.97 kCal
Gobova juha s smetano,11,89,3,1,15 min,20 min,35 min,Slovenska,111.27 kCal
Pudingovo jajce na oko,4,58,2,1,5 min,10 min,15 min,Sladice,376.25 kCal
Chili con carne,13,167,5,2,20 min,3 h 0 min,3 h 20 min,Mehiška,108.92 kCal
Miso juha s tofujem,12,180,3,2,10 min,15 min,25 min,Makrobiotika,221.16 kCal
Pomladanska solata,8,50,2,1,10 min,0 min,10 min,Veganstvo,90.09 kCal
Hamburger s polpetom,17,143,3,1,15 min,15 min,30 min,Kuhinje,215.29 kCal
Šampanjec z malinami,4,28,2,1,10 min,0 min,10 min,Sezonsko,0 kCal
Čokoladna salama,9,91,3,1,2 h 10 min,0 min,2 h 10 min,Zabava,527.73 kCal
Kumarična solata z jogurtom,8,79,3,1,15 min,0 min,15 min,Sezonsko,23.97 kCal
Domači sladoled s smetano,5,54,2,1,3 h 10 min,0 min,3 h 10 min,Poletje,45.45 kCal
Rdeč piščančji curry,14,147,4,2,10 min,27 min,37 min,Kuhinje,110.33 kCal
Poletna rižota,10,120,3,2,5 min,35 min,40 min,Vegetarijanstvo,403.43 kCal
Šparglji s parmezanom,10,99,4,1,25 min,20 min,45 min,Zdravo in vegi,101.18 kCal
Španska omleta,9,173,5,1,10 min,15 min,25 min,Pomlad,132.43 kCal
Tempura z rakci,10,121,3,2,20 min,15 min,35 min,Kuhinje,90.77 kCal
Salsa verde,6,50,2,1,10 min,0 min,10 min,Mehiška,127.57 kCal
Čilijeva omaka,7,48,2,1,10 min,0 min,10 min,Vegetarijanstvo,56.63 kCal
Sladko krhko testo,4,93,3,2,1 h 5 min,0 min,1 h 5 min,Slovenska,503.4 kCal
Ocvrta cvetača,5,92,3,1,10 min,10 min,20 min,Poletje,144.39 kCal
Piščančja enchilada,12,202,5,1,20 min,30 min,50 min,Okusi sveta,109.43 kCal
Krhko testo (za slane ali sladke jedi),4,93,3,2,1 h 5 min,0 min,1 h 5 min,Testenine in žita,477.9 kCal
Zelenjavna nabodala,9,97,4,1,15 min,30 min,45 min,Zdravo in vegi,72.15 kCal
Carbonada Criolla,25,279,4,2,20 min,1 h 50 min,2 h 10 min,Kuhinje,91.63 kCal
Zelen piščančji curry,13,168,4,2,15 min,55 min,1 h 10 min,Zdravo in vegi,158.39 kCal
Švicarski rosti,7,99,3,1,20 min,30 min,50 min,Vegetarijanstvo,87.84 kCal
Jagnječji kotleti z rdečim vinom,7,128,4,2,8 h 10 min,1 h 0 min,9 h 10 min,Mehiška,275.71 kCal
Pita kruh,5,231,4,2,2 h 30 min,15 min,2 h 45 min,Veganstvo,335.06 kCal
Polpeti iz brazilskih oreščkov in sončničnih semen,10,148,4,2,5 h 0 min,20 min,5 h 20 min,Vegetarijanstvo,311.88 kCal
Sojini medaljoni s skutno omako,20,183,3,3,20 min,20 min,40 min,Zdravo in vegi,151.7 kCal
Piščančji curry,13,108,4,2,10 min,25 min,35 min,Zdravo in vegi,163.64 kCal
Ribja nabodala na tajski način,12,166,4,2,1 h 15 min,10 min,1 h 25 min,Kuhinje,74.12 kCal
Juha iz kopriv,8,90,3,1,10 min,25 min,35 min,Pomlad,63.79 kCal
Humus,6,76,3,1,10 min,0 min,10 min,Vegetarijanstvo,297.15 kCal
Profiteroli,10,275,5,2,15 min,50 min,1 h 5 min,Zabava,273.5 kCal
Zelenjavni curry,12,101,3,1,15 min,25 min,40 min,Zdravo in vegi,111.61 kCal
Špargljeva juha,6,99,3,1,10 min,25 min,35 min,Pomlad,41.66 kCal
Školjčna juha,10,170,5,2,20 min,30 min,50 min,Poletje,126.24 kCal
Paradižnikova juha iz svežega paradižnika,8,120,3,1,10 min,40 min,50 min,Poletje,51.86 kCal
V foliji pečen krompir,7,136,3,2,10 min,1 h 0 min,1 h 10 min,Vegetarijanstvo,82.6 kCal
Mesna lazanja,23,251,5,2,30 min,1 h 50 min,2 h 20 min,Italijanska,187.79 kCal
Dunajski prsti,7,125,4,1,10 min,25 min,35 min,Slovenska,516.65 kCal
Hladna kumarična juha,7,122,4,1,10 min,25 min,35 min,Vegetarijanstvo,102.27 kCal
Boršč brez mesa,13,133,3,1,15 min,45 min,1 h 0 min,Vegetarijanstvo,46.93 kCal
Kolač z rabarbaro in jagodami,10,162,3,2,20 min,30 min,50 min,Sezonsko,168.86 kCal
Medeni makov kolač,13,128,3,3,15 min,1 h 0 min,1 h 15 min,Velika noč,382.57 kCal
Mesni ravioli,6,127,4,3,30 min,15 min,45 min,Italijanska,300.77 kCal
Borovničeva pita,10,177,4,2,1 h 30 min,35 min,2 h 5 min,Poletje,220.65 kCal
Presna bananina pita,17,150,3,1,1 h 50 min,0 min,1 h 50 min,Presna prehrana,265.58 kCal
Pasticcio za sladokusce,11,195,5,2,15 min,50 min,1 h 5 min,Italijanska,241.4 kCal
Baklava,7,193,4,3,2 h 15 min,30 min,2 h 45 min,Balkanska,467.45 kCal
Sirove kroglice z olivami,6,105,2,1,15 min,15 min,30 min,Zabava,406 kCal
Skutni ravioli,8,126,4,2,30 min,5 min,35 min,Italijanska,245.7 kCal
Klasični sirov narastek,12,168,4,2,20 min,1 h 5 min,1 h 25 min,Božič in novo leto,247.15 kCal
Špinačni ravioli,6,123,4,3,30 min,10 min,40 min,Kuhinje,164.69 kCal
Jesenski pasticcio,14,186,5,2,20 min,45 min,1 h 5 min,Jesen,203.55 kCal
Nadevana rdeča čebula,11,203,5,3,30 min,1 h 30 min,2 h 0 min,Zdravo in vegi,94.26 kCal
Polenta z jurčki,10,146,4,2,15 min,45 min,1 h 0 min,Zdravo in vegi,77.69 kCal
Jajčno testo za testenine,3,120,3,3,1 h 0 min,0 min,1 h 0 min,Italijanska,364 kCal
Špinačna lazanja,21,258,6,2,30 min,50 min,1 h 20 min,Italijanska,132.71 kCal
Velikonočna torta,16,88,2,1,15 min,2 h 15 min,2 h 30 min,Velika noč,357.42 kCal
Poletno sadje z medenimi ovsenimi kosmiči,6,30,3,1,5 min,0 min,5 min,Zdravo in vegi,135.32 kCal
"Špageti s špinačo, sirom in slanino",11,111,3,2,10 min,10 min,20 min,Testenine in žita,267.56 kCal
Ajdove palačinke z javorjevim prelivom in svežim sadjem,7,135,4,2,25 min,20 min,45 min,Zdravo in vegi,334.02 kCal
Sladko-kisla svinjina,21,218,8,2,45 min,12 min,57 min,Meso,134.93 kCal
Nadevane parathe,18,231,6,3,40 min,25 min,1 h 5 min,Vegetarijanstvo,89.71 kCal
Puranja nabodala s cimetovo omako,14,163,5,2,1 h 20 min,6 min,1 h 26 min,Meso,155.99 kCal
Jagodna pita,13,156,3,3,2 h 30 min,40 min,3 h 10 min,Slovenska,271.88 kCal
Sirova enchilada,10,139,5,1,15 min,50 min,1 h 5 min,Zabava,200 kCal
Ribji buritos,12,165,4,1,20 min,30 min,50 min,Mehiška,143.71 kCal
Quesadilla s sirom,7,87,3,1,10 min,15 min,25 min,Mehiška,252.05 kCal
Pekoč smetanov preliv,9,43,2,1,10 min,0 min,10 min,Mehiška,82.01 kCal
Nachos,9,97,3,1,30 min,5 min,35 min,Zabava,107.46 kCal
Jajca po mehiško,10,121,4,1,15 min,20 min,35 min,Mehiška,84.92 kCal
Zelenjavni chimichangas,10,159,4,1,25 min,25 min,50 min,Mehiška,179.32 kCal
Avokadova juha,6,101,3,1,15 min,15 min,30 min,Mehiška,168.59 kCal
Špageti s sojinim prelivom in lososom,12,193,4,2,12 min,16 min,28 min,Azijska,277.55 kCal
Topla solata iz jajčevcev,10,96,2,2,10 min,10 min,20 min,Zdravo in vegi,40.09 kCal
Solata tabuleh,10,89,3,1,40 min,5 min,45 min,Zdravo in vegi,80.63 kCal
Dražgoški medeni kruhki,15,151,4,3,30 min,15 min,45 min,Valentinovo,323.57 kCal
Pomladanski rezanci (fettucine),15,192,5,1,15 min,25 min,40 min,Italijanska,172.51 kCal
Malinov sorbet,6,147,4,2,5 h 0 min,5 min,5 h 5 min,Zabava,138.68 kCal
Postrvi s šampinjoni,9,127,3,2,10 min,25 min,35 min,Zelenjava,133.15 kCal
Hruškov sorbet z ingverjem,6,148,4,2,5 h 0 min,30 min,5 h 30 min,Sezonsko,94.16 kCal
Medenjaki na škofjeloški način,14,160,3,3,3 h 5 min,15 min,3 h 20 min,Velika noč,342.01 kCal
Domača kokošja juha,10,149,6,2,10 min,1 h 10 min,1 h 20 min,Juhe in jedi na žlico,145.12 kCal
Goveja juha,16,200,7,2,15 min,3 h 10 min,3 h 25 min,Slovenska,97.41 kCal
Marelični sorbet,5,135,4,2,5 h 0 min,20 min,5 h 20 min,Zabava,81.87 kCal
Lešnikove kroglice,6,55,1,1,15 min,0 min,15 min,Zabava,479.22 kCal
Mafini s sivko in čokolado,12,193,5,2,20 min,40 min,1 h 0 min,Zabava,385.36 kCal
Tunin namaz,9,88,3,1,15 min,0 min,15 min,Piknik in žar,201.68 kCal
Borovničevi mafini z okusom pomaranče,9,164,4,1,15 min,25 min,40 min,Zabava,216.81 kCal
Kroglice z rozinami,8,80,3,1,2 h 15 min,5 min,2 h 20 min,Zabava,446.65 kCal
Ocvrti sir,5,92,3,1,15 min,10 min,25 min,Zabava,319.28 kCal
Tortica s škampi in svežimi kumaricami,7,132,5,1,20 min,3 min,23 min,Piknik in žar,145 kCal
Mafini s pisanimi bombončki,11,165,4,1,20 min,25 min,45 min,Zabava,248.75 kCal
Škampov koktajl,10,90,3,1,10 min,5 min,15 min,Zabava,54.08 kCal
Čokoladirani marcipan,5,130,2,1,45 min,5 min,50 min,Božič in novo leto,446.62 kCal
Limonin sorbet,5,137,4,2,5 h 0 min,5 min,5 h 5 min,Zabava,190.06 kCal
Špageti z bolonjsko omako,16,217,7,2,10 min,2 h 30 min,2 h 40 min,Italijanska,92.27 kCal
Sirov fondi,11,105,4,1,25 min,15 min,40 min,Piknik in žar,332.62 kCal
Rojstnodnevni mafini z lešniki,11,145,4,1,10 min,20 min,30 min,Zabava,400.65 kCal
Pašteta iz račjih jeter,13,184,5,2,13 min,2 h 10 min,2 h 23 min,Zabava,202.46 kCal
Pitice s sirom in šampinjoni,12,203,5,1,30 min,40 min,1 h 10 min,Piknik in žar,226.22 kCal
Zvitki iz bučk in prekajenega losososa,5,62,3,1,10 min,5 min,15 min,Piknik in žar,258.81 kCal
Bučkina pita,10,160,5,2,25 min,20 min,45 min,Slovenska,114.4 kCal
Mariniran trevižanski radič,5,93,4,1,15 min,4 min,19 min,Vegetarijanstvo,31.51 kCal
Čokoladni mousse,6,121,3,2,3 h 15 min,10 min,3 h 25 min,Valentinovo,358.37 kCal
Quiche Lorraine (lotarinška pita s sirom in slanino),10,158,5,2,2 h 0 min,30 min,2 h 30 min,Mesec smetanovih jedi,355.25 kCal
Gobe na italijanski način,10,44,3,1,20 min,0 min,20 min,Vegetarijanstvo,146.89 kCal
Umešana jajca s tartufi,6,76,3,1,5 min,7 min,12 min,Slovenska,197.92 kCal
Gremolata,6,47,1,1,1 h 10 min,0 min,1 h 10 min,Italijanska,219 kCal
Fokača ali italijanski kruh,9,116,4,2,1 h 35 min,20 min,1 h 55 min,Italijanska,380.29 kCal
Čokoladni rižev narastek,9,149,5,2,15 min,1 h 5 min,1 h 20 min,Zabava,278.83 kCal
Čokoladni souffle,5,156,4,2,20 min,10 min,30 min,Valentinovo,180 kCal
Sautirane gobe,7,101,3,1,10 min,20 min,30 min,Vegetarijanstvo,119.8 kCal
Marinirane sardele,14,163,6,2,40 min,15 min,55 min,Italijanska,160.96 kCal
Jajčevci ''alla parmigiana'',9,154,5,2,20 min,50 min,1 h 10 min,Italijanska,66.93 kCal
Gratinirani koromač z bešamelom,14,158,4,2,30 min,0 min,30 min,Italijanska,173.77 kCal
Ocvrte artičokine kroglice,10,121,4,1,45 min,15 min,1 h 0 min,Italijanska,91.77 kCal
Rižota z jurčki,9,172,4,2,10 min,35 min,45 min,Italijanska,178.24 kCal
Pitice s sirom in špinačo,11,211,6,2,30 min,40 min,1 h 10 min,Zabava,227.51 kCal
Pečeni šampinjoni s sirom,8,120,4,1,10 min,20 min,30 min,Vegetarijanstvo,87.39 kCal
Paradižnikovi kanapeji,7,56,3,1,25 min,0 min,25 min,Zabava,210.8 kCal
Ocvrte piščančje prsi z medenim prelivom,11,146,5,2,15 min,15 min,30 min,Zima,221.38 kCal
Tunin file z medom in sojino omako,11,104,4,3,2 h 15 min,7 min,2 h 22 min,Ribe in morski sadeži,140.6 kCal
Nabodala s paradižnikom in mocarelo,6,96,3,1,20 min,0 min,20 min,Vegetarijanstvo,185.38 kCal
Mediteran na žlički,6,48,3,1,20 min,0 min,20 min,Vegetarijanstvo,189.44 kCal
Kumaričine tortice,4,43,2,1,20 min,0 min,20 min,Piknik in žar,13.71 kCal
Kanapeji z mušulami,7,78,3,1,20 min,0 min,20 min,Piknik in žar,122.21 kCal
Rumove kroglice z rozinami,7,71,3,1,1 h 30 min,0 min,1 h 30 min,Zabava,519.02 kCal
Palačinke Suzette,11,131,5,2,22 min,15 min,37 min,Valentinovo,241.44 kCal
Trubarjev por,8,54,2,1,5 min,40 min,45 min,Poletje,75.14 kCal
Kanapeji z lososom in kaviarjem,5,52,3,1,15 min,0 min,15 min,Zabava,336 kCal
Kanapeji z gorgonzolo in orehi,5,37,2,1,10 min,0 min,10 min,Vegetarijanstvo,285.54 kCal
Tortelini z grahom in slanino,9,122,4,1,10 min,15 min,25 min,Italijanska,343.57 kCal
Medenjaki z mandlji,15,141,5,1,2 h 25 min,23 min,2 h 48 min,Zima,365.48 kCal
Pečena jabolka z nadevom iz orehov in mandljev,8,87,3,2,10 min,25 min,35 min,Slovenska,152.79 kCal
Pasulj,11,147,3,1,10 min,2 h 20 min,2 h 30 min,Balkanska,270.72 kCal
Marmorni kolač,11,115,4,2,15 min,1 h 10 min,1 h 25 min,Sezonsko,224.78 kCal
Poletna pita iz gozdnih sadežev,7,151,4,2,40 min,25 min,1 h 5 min,Slovenska,124.22 kCal
Jagnječja obara,12,116,3,2,10 min,1 h 10 min,1 h 20 min,Italijanska,66.29 kCal
Špageti z rakci,11,161,5,1,10 min,30 min,40 min,Italijanska,141.45 kCal
Piščančji satay s kikirikijevo omako,13,131,4,2,15 min,20 min,35 min,Azijska,218.24 kCal
Polnjene artičoke,9,124,4,2,30 min,20 min,50 min,Vegetarijanstvo,141.7 kCal
Šampinjoni z gorgonzolo,9,80,2,2,10 min,20 min,30 min,Italijanska,142.37 kCal
Mandljevi poljubčki,6,102,4,1,15 min,15 min,30 min,Božič in novo leto,377.89 kCal
Puranje kroglice s sirom,17,168,4,2,25 min,15 min,40 min,Piknik in žar,157.46 kCal
Kanapeji s piščančjimi prsi in kaviarjem,6,56,2,1,15 min,0 min,15 min,Piknik in žar,289.02 kCal
Krhka skutna torta,11,139,4,2,40 min,45 min,1 h 25 min,Mesec prazničnih skutnih dobrot,278.82 kCal
Peresniki s šparglji,7,117,3,1,8 min,8 min,16 min,Vegetarijanstvo,218.8 kCal
Grisini s pršutom,2,23,1,1,7 min,0 min,7 min,Zabava,0 kCal
Kanapeji s pršutom in kumarico,7,69,4,1,25 min,0 min,25 min,Piknik in žar,197.53 kCal
Črno-bela rolada,9,222,5,2,30 min,20 min,50 min,Slovenska,246.14 kCal
Rižota z artičokami,11,128,5,2,15 min,30 min,45 min,Vegetarijanstvo,93.82 kCal
Jagnječja pastirska pita,13,180,5,2,25 min,1 h 0 min,1 h 25 min,Meso,140.67 kCal
Piščančje rulade,10,112,3,3,20 min,20 min,40 min,Sezonsko,195.41 kCal
Kostanjev kolač,8,98,4,1,10 min,1 h 0 min,1 h 10 min,Sezonsko,101.15 kCal
Pehtranovi štruklji,13,161,4,3,50 min,45 min,1 h 35 min,Slovenska,333.33 kCal
Rižota s suhimi paradižniki,9,120,5,2,5 min,25 min,30 min,Vegetarijanstvo,156.72 kCal
Zrezki iz divjačine v omaki,16,167,5,2,15 min,2 h 10 min,2 h 25 min,Meso,138.34 kCal
Mehiška salsa omaka,10,27,2,1,10 min,0 min,10 min,Mehiška,38.96 kCal
Mehiška fižolova priloga,7,121,4,1,10 min,20 min,30 min,Mehiška,67.2 kCal
Pečena polenta s paradižnikovo omako,10,107,3,2,10 min,1 h 0 min,1 h 10 min,Zdravo in vegi,198.59 kCal
Piščanec v gorčično-zeliščni marinadi,13,110,3,3,40 min,45 min,1 h 25 min,Sezonsko,210.02 kCal
Krompirjeva musaka z bešamelom,18,235,4,2,30 min,1 h 25 min,1 h 55 min,Meso,130.75 kCal
Guacamole omaka za tortilje,8,65,2,1,15 min,0 min,15 min,Mehiška,117.96 kCal
Divjačinski golaž,18,207,4,2,15 min,2 h 0 min,2 h 15 min,Meso,131.55 kCal
Orehova potica iz polnovredne moke,16,344,7,3,2 h 20 min,1 h 5 min,3 h 25 min,Slovenska,466.71 kCal
Špargljeva rižota,11,125,6,2,15 min,25 min,40 min,Italijanska,136.4 kCal
Jabolka v srajčki,9,105,3,1,30 min,15 min,45 min,Sezonsko,91.01 kCal
Pečen piščanec na soli,2,50,3,1,10 min,1 h 30 min,1 h 40 min,Sezonsko,0 kCal
Solata Caprese,7,73,2,1,15 min,0 min,15 min,Italijanska,160.74 kCal
Cvetačna kremna juha z olivami,10,152,5,2,10 min,35 min,45 min,Juhe in jedi na žlico,70.93 kCal
Goveja pečenka Wellington,11,196,4,2,20 min,1 h 0 min,1 h 20 min,Božič in novo leto,167.54 kCal
Buhteljni s slivovo marmelado,9,230,4,3,1 h 20 min,30 min,1 h 50 min,Sladice,338.52 kCal
Slani skutni štruklji z drobnjakom,13,135,4,2,45 min,45 min,1 h 30 min,Zdravo in vegi,243.93 kCal
Mesne polpete,12,116,5,1,30 min,15 min,45 min,Slovenska,231.28 kCal
Rezanci s tartufi,9,155,5,2,10 min,25 min,35 min,Kuhinje,51.49 kCal
Goveji zrezki v omaki,9,115,5,2,10 min,20 min,30 min,Sezonsko,181.92 kCal
